title,difficulty,category
Peter Finch,1,Actor,"Network, Sunday Bloody Sunday, The Flight of the Phoenix"
Peter O'Toole,1,Actor,"Lawrence of Arabia, Becket, The Lion in Winter"
Peter Sellers,1,Actor,"Being There, The Running, Jumping & Standing Still Film, Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
Philip Seymour Hoffman,1,Actor,"Capote, Doubt, The Master"
Ralph Fiennes,1,Actor,"The Grand Budapest Hotel, Schindler's List, The English Patient"
Richard Burton,1,Actor,"Equus, My Cousin Rachel, Who's Afraid of Virginia Woolf?"
Robert De Niro,1,Actor,"Raging Bull, The Deer Hunter, The Godfather: Part II, Goodfellas, Taxi Driver"
Robert Downey Jr.,1,Actor,"Chaplin, Tropic Thunder, Sherlock Homes"
Robert Duvall,1,Actor,"The Apostle, Tender Mercies, Lonesome Dove"
Robert Mitchum,1,Actor,"Story of G.I. Joe, The Longest Day, Heaven Knows, Mr. Allison"
Robert Redford,1,Actor,"The String, Downhill Racer, Tell Them Willie Boy Is Here"
Robin Williams,1,Actor,"Mrs. Doubtfire, The Fisher King, Good Will Hunting, Dead Poets Society"
Russell Crowe,1,Actor,"Gladiator, The Insider, A Beautiful Mind, Les Misérables"
Samuel L. Jackson,1,Actor,"Pulp Fiction, Jackie Brown, A Time to Kill"
Sean Connery,1,Actor,"The Untouchables, The Russia House, The Family Business"
Sean Penn,1,Actor,"Milk, I Am Sam, Mystic River"
Sidney Poitier,1,Actor,"Guess Who's Coming to Dinner, Lilies of the Field, The Defiant Ones, In the Heat of the Night"
Spencer Tracy,1,Actor,"Guess Who's Coming to Dinner, Boys Town, Captains Courageous, Judgement at Nuremberg"
Steve McQueen,1,Actor,"Papillon, The Sand Pebbles, Love with the Proper Stranger"
Tom Cruise,1,Actor,"Top Gun, Magnolia, Jerry Maguire, Born on the Fourth of July"
Tom Hanks,1,Actor,"Cast Away, Forrest Gump, Philadelphia, Saving Private Ryan"
Tommy Lee Jones,1,Actor,"In the Valley of Elah, Lincoln, The Fugitive"
Will Smith,1,Actor,"The Pursuit of Happiness, Ali, Concussion"
William Holden,1,Actor,"Network, Stalag 1Sunset Blvd."
Woody Allen,1,Actor,"Annie Hall, Manhattan, Take the Money and Run"
